Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume
2018-01-01,1980,310.600006,312.75,306.299988,307.100006,307.100006,12182400.0
2018-01-02,1981,309.0,309.0,301.350006,303.25,303.25,14797364.0
2018-01-03,1982,305.299988,306.450012,302.149994,302.850006,302.850006,13857373.0
2018-01-04,1983,304.5,310.200012,303.149994,308.5,308.5,24517099.0
2018-01-05,1984,311.399994,311.399994,305.600006,306.350006,306.350006,14580575.0
2018-01-08,1985,307.200012,309.5,305.0,305.799988,305.799988,13557197.0
2018-01-09,1986,307.5,309.5,303.299988,304.299988,304.299988,15574755.0
2018-01-10,1987,304.649994,305.850006,300.0,301.100006,301.100006,13064599.0
2018-01-11,1988,300.899994,303.0,300.0,302.200012,302.200012,12298455.0
2018-01-12,1989,304.649994,304.649994,300.549988,302.25,302.25,17594228.0
2018-01-15,1990,303.950012,305.25,301.549988,302.600006,302.600006,18189668.0
2018-01-16,1991,302.399994,303.350006,295.299988,296.149994,296.149994,18040940.0
2018-01-17,1992,296.0,308.399994,292.600006,307.100006,307.100006,26277307.0
2018-01-18,1993,315.0,317.799988,300.5,303.25,303.25,40000111.0
2018-01-19,1994,303.950012,310.0,302.5,309.25,309.25,18461642.0
2018-01-22,1995,308.350006,308.75,304.049988,306.5,306.5,12622645.0
2018-01-23,1996,306.399994,320.549988,306.350006,318.100006,318.100006,35252217.0
2018-01-24,1997,317.700012,331.600006,316.200012,329.899994,329.899994,38070520.0
2018-01-25,1998,332.75,332.75,311.850006,313.149994,313.149994,42466150.0
2018-01-29,1999,313.149994,316.899994,311.0,312.100006,312.100006,23600898.0
2018-01-30,2000,312.049988,318.850006,311.0,313.549988,313.549988,25810404.0
2018-01-31,2001,313.0,316.600006,307.850006,313.25,313.25,16409938.0
2018-02-01,2002,316.899994,317.399994,305.0,306.049988,306.049988,19515991.0
2018-02-02,2003,302.899994,305.75,295.5,297.350006,297.350006,23274673.0
2018-02-05,2004,292.649994,300.399994,290.0,298.049988,298.049988,18940578.0
2018-02-06,2005,285.0,297.299988,282.899994,291.75,291.75,30577218.0
2018-02-07,2006,296.600006,297.899994,290.0,292.799988,292.799988,21463818.0
2018-02-08,2007,292.899994,303.299988,292.549988,301.399994,301.399994,18932796.0
2018-02-09,2008,297.0,300.600006,295.0,296.399994,296.399994,15750824.0
2018-02-12,2009,288.25,292.399994,285.149994,288.75,288.75,50839665.0
2018-02-14,2010,288.700012,288.700012,275.0,276.200012,276.200012,45641149.0
2018-02-15,2011,274.799988,282.299988,274.25,278.700012,278.700012,26058237.0
2018-02-16,2012,280.5,281.200012,270.049988,271.649994,271.649994,30338112.0
2018-02-19,2013,271.5,272.0,256.649994,268.5,268.5,43847791.0
2018-02-20,2014,269.0,274.200012,264.799988,269.649994,269.649994,33458021.0
2018-02-21,2015,272.200012,274.100006,267.399994,273.299988,273.299988,23714454.0
2018-02-22,2016,270.399994,273.600006,269.450012,272.600006,272.600006,25584062.0
2018-02-23,2017,273.450012,277.200012,272.5,276.049988,276.049988,15482147.0
2018-02-26,2018,280.0,280.0,273.850006,274.450012,274.450012,15306032.0
2018-02-27,2019,273.0,275.899994,265.950012,267.600006,267.600006,20824909.0
2018-02-28,2020,264.25,269.700012,260.799988,268.0,268.0,26810799.0
2018-03-01,2021,266.299988,270.0,261.25,262.149994,262.149994,22859175.0
2018-03-05,2022,260.450012,265.0,258.75,263.5,263.5,18484565.0
2018-03-06,2023,265.850006,266.0,255.0,256.549988,256.549988,20778164.0
2018-03-07,2024,255.050003,255.350006,246.050003,246.649994,246.649994,31262500.0
2018-03-08,2025,247.0,257.950012,244.300003,256.799988,256.799988,33133336.0
2018-03-09,2026,257.0,257.399994,251.649994,253.25,253.25,21536191.0
2018-03-12,2027,254.100006,255.25,247.25,252.850006,252.850006,25332474.0
2018-03-13,2028,251.300003,262.399994,249.600006,254.699997,254.699997,37647221.0
2018-03-14,2029,252.5,257.850006,250.0,257.049988,257.049988,25471485.0
2018-03-15,2030,257.0,258.799988,252.550003,253.699997,253.699997,18339890.0
2018-03-16,2031,250.649994,255.699997,250.100006,252.300003,252.300003,25728297.0
2018-03-19,2032,252.899994,253.600006,246.100006,247.949997,247.949997,18167594.0
2018-03-20,2033,246.850006,252.25,245.350006,249.100006,249.100006,20556571.0
2018-03-21,2034,251.75,254.300003,247.100006,248.0,248.0,19533972.0
2018-03-22,2035,247.0,247.350006,240.649994,241.550003,241.550003,26828240.0
2018-03-23,2036,237.800003,239.649994,232.350006,234.800003,234.800003,27150262.0
2018-03-26,2037,234.75,247.850006,234.25,246.5,246.5,30373940.0
2018-03-27,2038,250.0,255.5,248.0,254.350006,254.350006,31205051.0
2018-03-28,2039,252.0,256.200012,248.699997,249.899994,249.899994,36673566.0
2018-04-02,2040,251.800003,252.0,244.899994,246.149994,246.149994,14993188.0
2018-04-03,2041,249.550003,252.800003,248.25,250.5,250.5,19883309.0
2018-04-04,2042,251.699997,253.0,245.5,247.300003,247.300003,18824449.0
2018-04-05,2043,252.600006,261.899994,250.0,259.299988,259.299988,22880821.0
2018-04-06,2044,259.649994,261.450012,254.850006,259.700012,259.700012,24868860.0
2018-04-09,2045,260.649994,262.75,257.600006,260.649994,260.649994,20208874.0
2018-04-10,2046,261.100006,265.0,258.5,263.299988,263.299988,21201141.0
2018-04-11,2047,263.0,263.0,256.299988,257.049988,257.049988,14885838.0
2018-04-12,2048,257.5,257.5,252.25,253.800003,253.800003,18660913.0
2018-04-13,2049,254.0,255.949997,249.699997,250.949997,250.949997,25654020.0
2018-04-16,2050,249.350006,251.300003,247.100006,249.0,249.0,16408377.0
2018-04-17,2051,251.399994,252.5,246.600006,248.149994,248.149994,15922452.0
2018-04-18,2052,249.5,249.899994,245.300003,246.449997,246.449997,16142387.0
2018-04-19,2053,247.100006,248.449997,245.199997,246.149994,246.149994,13166927.0
2018-04-20,2054,245.850006,245.850006,239.5,241.199997,241.199997,15546939.0
2018-04-23,2055,241.899994,244.850006,239.300003,242.449997,242.449997,12111837.0
2018-04-24,2056,242.0,243.399994,239.600006,240.600006,240.600006,9486349.0
2018-04-25,2057,239.699997,240.75,236.75,237.199997,237.199997,13124853.0
2018-04-26,2058,238.399994,238.800003,232.5,233.199997,233.199997,24495144.0
2018-04-27,2059,233.25,245.800003,233.25,242.600006,242.600006,31401889.0
2018-04-30,2060,244.800003,249.699997,244.5,246.399994,246.399994,17263193.0
2018-05-02,2061,245.899994,246.300003,239.75,241.0,241.0,12887066.0
2018-05-03,2062,240.949997,243.399994,238.75,241.899994,241.899994,12939642.0
2018-05-04,2063,243.5,243.899994,240.350006,241.949997,241.949997,12777310.0
2018-05-07,2064,242.449997,248.199997,242.050003,246.5,246.5,15122614.0
2018-05-08,2065,248.0,252.600006,244.600006,250.050003,250.050003,23293920.0
