Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume
2020-01-01,2469,9420.0,9432.450195,9351.950195,9378.450195,9373.19043,63668.0
2020-01-02,2470,9378.5,9530.950195,9378.450195,9505.599609,9500.268555,157891.0
2020-01-03,2471,9465.0,9504.599609,9324.0,9345.849609,9340.607422,182479.0
2020-01-06,2472,9339.0,9339.0,9022.0,9042.700195,9037.62793,244289.0
2020-01-07,2473,9125.0,9265.0,9065.049805,9095.650391,9090.548828,242676.0
2020-01-08,2474,8971.0,9166.849609,8961.599609,9145.5,9140.370117,269718.0
2020-01-09,2475,9499.900391,9499.900391,9209.0,9395.25,9389.980469,214197.0
2020-01-10,2476,9375.150391,9434.849609,9338.299805,9372.25,9366.993164,139393.0
2020-01-13,2477,9399.799805,9468.0,9365.0,9455.25,9449.946289,150713.0
2020-01-14,2478,9446.0,9579.799805,9405.299805,9554.849609,9549.490234,162899.0
2020-01-15,2479,9539.849609,9619.0,9501.599609,9589.150391,9583.772461,137230.0
2020-01-16,2480,9590.0,9640.0,9565.049805,9622.150391,9616.753906,135782.0
2020-01-17,2481,9614.0,9740.299805,9601.0,9715.0,9709.550781,284129.0
2020-01-20,2482,9725.0,9764.349609,9550.0,9572.75,9567.380859,184198.0
2020-01-21,2483,9583.950195,9625.0,9508.200195,9534.299805,9528.952148,174507.0
2020-01-22,2484,9590.0,9600.0,9495.0,9547.5,9542.144531,139525.0
2020-01-23,2485,9547.5,9596.0,9484.150391,9534.200195,9528.852539,181280.0
2020-01-24,2486,9519.200195,9650.0,9480.099609,9633.75,9628.34668,123978.0
2020-01-27,2487,9590.0,9648.900391,9535.0,9557.599609,9552.239258,113128.0
2020-01-28,2488,9557.599609,9710.0,9530.0,9631.299805,9625.897461,190469.0
2020-01-29,2489,9649.0,9929.0,9649.0,9894.25,9888.700195,501913.0
2020-01-30,2490,9924.0,9950.0,9603.349609,9639.650391,9634.244141,412825.0
2020-01-31,2491,9708.0,9708.0,9410.0,9441.400391,9436.104492,329541.0
2020-02-03,2492,8955.0,9235.0,8885.0,9086.150391,9081.053711,502551.0
2020-02-04,2493,9180.0,9624.900391,9161.299805,9534.900391,9529.552734,463697.0
2020-02-05,2494,9540.0,9684.0,9457.700195,9591.400391,9586.020508,324540.0
2020-02-06,2495,9600.0,9709.0,9560.0,9619.700195,9614.304688,271343.0
2020-02-07,2496,9610.0,9673.650391,9561.049805,9623.299805,9617.902344,142626.0
2020-02-10,2497,9605.0,9657.950195,9531.0,9627.0,9621.600586,143528.0
2020-02-11,2498,9643.5,9810.0,9643.5,9731.599609,9726.141602,195579.0
2020-02-12,2499,9738.0,9840.950195,9685.25,9771.849609,9766.369141,188528.0
2020-02-13,2500,9758.0,9795.0,9689.0,9717.200195,9711.75,136630.0
2020-02-14,2501,9735.0,9795.0,9653.049805,9690.5,9685.064453,139237.0
2020-02-17,2502,9699.799805,9785.25,9514.549805,9528.849609,9523.504883,175401.0
2020-02-18,2503,9527.0,9564.950195,9416.0,9529.5,9524.155273,266384.0
2020-02-19,2504,9580.0,9780.0,9580.0,9758.650391,9753.176758,221132.0
2020-02-20,2505,9758.0,9827.549805,9693.75,9709.700195,9704.253906,167020.0
2020-02-24,2506,9680.0,9680.0,9448.299805,9466.900391,9461.59082,199329.0
2020-02-25,2507,9500.0,9550.0,9351.099609,9525.0,9519.657227,222018.0
2020-02-26,2508,9455.0,9494.900391,9360.0,9387.0,9381.735352,175517.0
2020-02-27,2509,9385.0,9494.700195,9266.799805,9408.0,9402.723633,207583.0
2020-02-28,2510,9270.5,9286.549805,8825.049805,9050.75,9045.673828,537852.0
2020-03-02,2511,9300.0,9300.0,8808.0,8914.5,8909.5,309031.0
2020-03-03,2512,9000.0,9116.650391,8680.0,8963.650391,8963.650391,550729.0
2020-03-04,2513,9000.0,9066.599609,8593.25,8799.700195,8799.700195,440251.0
2020-03-05,2514,8870.0,8970.0,8761.049805,8879.900391,8879.900391,319853.0
2020-03-06,2515,8570.0,8625.0,8400.0,8603.200195,8603.200195,408699.0
2020-03-09,2516,8439.0,8450.0,8160.0,8207.099609,8207.099609,370507.0
2020-03-11,2517,8180.0,8397.099609,8128.049805,8254.0,8254.0,372345.0
2020-03-12,2518,7900.0,7981.950195,7400.0,7438.049805,7438.049805,619194.0
2020-03-13,2519,6800.0,7883.899901999999,6524.25,7742.0,7742.0,595673.0
2020-03-16,2520,7450.0,7566.5,7200.0,7495.600098000001,7495.600098000001,562246.0
2020-03-17,2521,7501.0,7521.950195,6956.799805,7017.5,7017.5,447605.0
2020-03-18,2522,7150.0,7200.0,6257.399902,6310.200195,6310.200195,644460.0
2020-03-19,2523,5865.0,6205.850098,5442.649902,5785.5,5785.5,816638.0
2020-03-20,2524,5725.200195,6391.950195,5700.0,6233.049805,6233.049805,657468.0
2020-03-23,2525,5640.0,5890.399902,4449.0,4621.049805,4621.049805,687988.0
2020-03-24,2526,4900.0,5080.0,4160.25,4497.75,4497.75,1558780.0
2020-03-25,2527,4450.0,4920.0,4400.049805,4830.299805,4830.299805,797270.0
2020-03-26,2528,4975.0,5554.799805,4825.200195,5147.25,5147.25,1019123.0
2020-03-27,2529,5477.0,5660.0,4675.0,4890.600098,4890.600098,1291794.0
2020-03-30,2530,4700.0,4779.600098,4555.0,4661.149902,4661.149902,750911.0
2020-03-31,2531,4810.0,4879.549805,4430.0,4591.200195,4591.200195,1156110.0
2020-04-01,2532,4560.0,4667.700195,4460.0,4501.899902,4501.899902,757766.0
2020-04-03,2533,4560.0,4646.0,4430.0,4510.75,4510.75,722311.0
2020-04-07,2534,4620.0,4818.799805,4329.049805,4724.899902,4724.899902,1130714.0
2020-04-08,2535,4575.0,4950.0,4537.799805,4608.5,4608.5,1113055.0
2020-04-09,2536,4705.0,4848.0,4662.0,4820.25,4820.25,864221.0
2020-04-13,2537,4844.0,4844.0,4469.350098,4491.399902,4491.399902,891695.0
2020-04-15,2538,4551.0,4664.25,4480.0,4599.100098,4599.100098,983071.0
2020-04-16,2539,4570.0,4760.0,4508.799805,4699.600098,4699.600098,747354.0
2020-04-17,2540,4876.0,5136.0,4855.049805,4999.700195,4999.700195,1352223.0
2020-04-20,2541,5085.799805,5090.0,4720.450195,4882.25,4882.25,903152.0
2020-04-21,2542,4749.0,4749.0,4575.0,4595.049805,4595.049805,670942.0
2020-04-22,2543,4585.0,4815.649902,4485.0,4775.75,4775.75,792149.0
