Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume
2020-01-01,2469,119.050003,122.0,118.25,121.550003,113.77021,9953746.0
2020-01-02,2470,121.5,122.150002,120.599998,121.400002,113.629807,8731299.0
2020-01-03,2471,121.0,121.349998,119.099998,119.349998,111.711014,7392962.0
2020-01-06,2472,119.0,119.150002,116.5,118.900002,111.289825,6596841.0
2020-01-07,2473,119.25,121.550003,119.25,120.550003,112.834213,8959942.0
2020-01-08,2474,119.699997,120.75,117.550003,119.949997,112.272614,6372683.0
2020-01-09,2475,120.5,121.199997,118.900002,119.349998,111.711014,8309627.0
2020-01-10,2476,119.949997,121.800003,119.050003,120.300003,112.60022,5588344.0
2020-01-13,2477,120.400002,122.0,120.099998,121.75,113.957405,3534313.0
2020-01-14,2478,121.75,124.0,121.349998,123.5,115.59539,8631692.0
2020-01-15,2479,123.0,125.0,122.349998,123.849998,115.922989,6537916.0
2020-01-16,2480,123.400002,123.400002,120.949997,121.449997,113.676598,8806007.0
2020-01-17,2481,121.449997,121.699997,120.599998,121.199997,113.442612,6811534.0
2020-01-20,2482,121.0,121.75,117.800003,118.25,110.681419,10655638.0
2020-01-21,2483,118.400002,119.550003,116.949997,117.150002,109.651825,5150830.0
2020-01-22,2484,114.949997,115.75,111.5,112.150002,104.971855,19388739.0
2020-01-23,2485,112.599998,114.449997,112.300003,113.5,106.235451,22793170.0
2020-01-24,2486,114.0,116.300003,113.550003,114.75,107.405441,9898052.0
2020-01-27,2487,115.0,115.300003,112.599998,113.150002,105.907852,5597365.0
2020-01-28,2488,113.75,113.75,110.900002,112.050003,104.87825,12128081.0
2020-01-29,2489,112.099998,114.900002,111.75,113.199997,105.954643,18501507.0
2020-01-30,2490,113.449997,114.800003,112.050003,113.650002,106.375847,18545239.0
2020-01-31,2491,113.75,115.25,111.5,112.849998,105.627045,64518347.0
2020-02-03,2492,109.449997,111.650002,107.199997,110.25,103.193459,14889516.0
2020-02-04,2493,110.349998,112.300003,110.25,112.0,104.831451,9743806.0
2020-02-05,2494,111.300003,112.599998,110.5,111.199997,104.082649,10671590.0
2020-02-06,2495,110.5,112.5,110.5,112.0,104.831451,11852617.0
2020-02-07,2496,112.400002,116.25,112.300003,115.599998,108.201027,18446803.0
2020-02-10,2497,115.800003,115.900002,112.050003,113.5,106.235451,31637511.0
2020-02-11,2498,114.5,117.550003,114.099998,116.849998,109.371025,20937033.0
2020-02-12,2499,117.0,118.900002,116.400002,116.800003,109.324234,13679292.0
2020-02-13,2500,116.800003,117.099998,114.699997,115.150002,107.779839,20903696.0
2020-02-14,2501,114.800003,115.5,111.900002,112.699997,105.486649,23827224.0
2020-02-17,2502,113.099998,113.75,109.199997,110.300003,103.240265,22137354.0
2020-02-18,2503,109.599998,110.900002,103.800003,109.599998,102.58506,34458578.0
2020-02-19,2504,112.300003,113.75,110.400002,112.050003,104.87825,17935374.0
2020-02-20,2505,111.699997,112.400002,110.949997,111.349998,104.223061,19663654.0
2020-02-24,2506,110.75,110.75,108.849998,109.699997,102.678665,11370193.0
2020-02-25,2507,110.900002,112.449997,109.650002,110.099998,103.053062,10775289.0
2020-02-26,2508,110.0,111.550003,108.25,109.099998,102.117058,14998071.0
2020-02-27,2509,109.199997,110.300003,106.650002,109.050003,102.070267,22610691.0
2020-02-28,2510,106.650002,110.199997,105.349998,106.550003,99.730286,25696761.0
2020-03-02,2511,109.349998,110.0,102.699997,103.900002,97.249893,15614944.0
2020-03-03,2512,104.650002,109.949997,104.300003,108.900002,101.929871,17194661.0
2020-03-04,2513,108.650002,111.0,107.5,107.949997,101.040672,17095867.0
2020-03-05,2514,108.099998,109.650002,107.050003,107.849998,100.947067,11579256.0
2020-03-06,2515,104.75,107.199997,102.900002,105.150002,98.419884,13533444.0
2020-03-09,2516,104.0,104.400002,99.550003,102.900002,96.313896,47383195.0
2020-03-11,2517,103.0,104.800003,101.5,103.050003,96.4543,28434577.0
2020-03-12,2518,99.0,100.0,93.25,94.349998,88.311142,47225243.0
2020-03-13,2519,90.0,100.75,81.25,98.050003,91.774323,49533058.0
2020-03-16,2520,96.0,96.0,88.25,90.800003,84.98835799999998,34649740.0
2020-03-17,2521,91.0,95.900002,86.349998,88.099998,82.461166,21241388.0
2020-03-18,2522,89.0,90.349998,74.900002,80.550003,75.394402,88654467.0
2020-03-19,2523,78.550003,84.949997,75.050003,78.349998,73.335213,33846928.0
2020-03-20,2524,78.5,82.349998,76.349998,81.25,76.04960600000003,58499591.0
2020-03-23,2525,74.900002,80.0,73.199997,76.400002,71.51003299999998,37653540.0
2020-03-24,2526,78.099998,79.599998,75.050003,77.550003,72.586426,13742927.0
2020-03-25,2527,78.0,80.5,75.300003,79.699997,74.59880799999998,16472741.0
2020-03-26,2528,82.0,82.199997,76.400002,79.650002,75.022667,39959613.0
