Date,Unnamed: 0,Open,High,Low,Close,Adj Close,Volume
2019-01-01,2226,715.0,721.450012,715.0,719.099976,688.782776,815535.0
2019-01-02,2227,719.150024,729.700012,709.25,712.049988,682.030029,2576769.0
2019-01-03,2228,715.049988,716.0,685.25,691.25,662.106934,3558015.0
2019-01-04,2229,694.450012,697.049988,672.5,681.099976,652.3848879999998,3926171.0
2019-01-07,2230,685.0,690.849976,682.549988,687.5,658.515076,1885000.0
2019-01-08,2231,688.0,692.400024,685.200012,689.849976,660.76593,1300906.0
2019-01-09,2232,694.200012,701.400024,684.0,693.700012,664.4537349999998,2183998.0
2019-01-10,2233,695.0,696.950012,689.150024,694.549988,665.267822,1454656.0
2019-01-11,2234,694.0,701.25,687.0,699.200012,669.7218019999998,1849817.0
2019-01-14,2235,703.0,703.099976,676.900024,679.849976,651.1875610000002,1558602.0
2019-01-15,2236,682.950012,710.799988,682.049988,706.25,676.474548,2491520.0
2019-01-16,2237,705.0,705.0,697.0,699.900024,670.392273,1922647.0
2019-01-17,2238,699.5,709.099976,696.0,705.549988,675.804077,1434040.0
2019-01-18,2239,705.0,714.200012,702.349976,709.150024,679.252319,1888004.0
2019-01-21,2240,710.349976,721.400024,709.0,713.900024,683.802063,2586962.0
2019-01-22,2241,714.0,720.0,701.799988,714.200012,684.089417,2839669.0
2019-01-23,2242,714.0,725.900024,711.0,720.700012,690.315308,1965283.0
2019-01-24,2243,724.0,730.0,716.5,727.75,697.068176,1849102.0
2019-01-25,2244,732.0,735.200012,724.0,729.049988,698.3132929999998,2528541.0
2019-01-28,2245,732.200012,738.0,721.150024,735.150024,704.1561280000002,1804582.0
2019-01-29,2246,735.200012,742.400024,721.400024,731.5,700.660034,3100457.0
2019-01-30,2247,732.0,733.400024,711.75,714.599976,684.472473,2139900.0
2019-01-31,2248,718.0,736.700012,718.0,731.900024,701.043152,3253640.0
2019-02-01,2249,732.950012,750.599976,728.0,746.599976,715.123413,2260029.0
2019-02-04,2250,749.0,752.25,736.599976,749.150024,717.565918,1518373.0
2019-02-05,2251,752.0,760.0,740.200012,751.0,719.3378299999998,2446263.0
2019-02-06,2252,784.0,814.5,774.0,811.349976,777.143555,14860848.0
2019-02-07,2253,809.0,816.200012,798.099976,805.0,771.061279,4966655.0
2019-02-08,2254,800.0,818.0,800.0,805.549988,771.588074,5242725.0
2019-02-11,2255,809.0,813.900024,804.0,809.400024,775.275757,2541742.0
2019-02-12,2256,809.900024,814.900024,796.450012,805.150024,771.2049559999998,2416559.0
2019-02-14,2257,805.799988,811.75,800.400024,805.900024,771.92334,2464657.0
2019-02-15,2258,804.799988,804.799988,777.25,799.650024,765.936829,4312334.0
2019-02-18,2259,815.0,822.0,800.5,803.450012,769.576599,3851335.0
2019-02-19,2260,807.0,809.0,788.849976,791.0,757.65155,2372030.0
2019-02-20,2261,794.049988,816.25,785.25,812.400024,778.149292,3340240.0
2019-02-21,2262,814.0,840.0,809.099976,820.650024,786.051514,14193982.0
2019-02-22,2263,824.900024,829.75,818.099976,826.0,791.1759030000002,4789937.0
2019-02-25,2264,830.200012,832.900024,822.5,830.650024,795.6298830000002,2881535.0
2019-02-26,2265,825.0,838.400024,820.599976,833.299988,798.168091,3319590.0
2019-02-27,2266,836.400024,837.950012,820.599976,825.599976,790.792786,3703224.0
2019-02-28,2267,833.0,838.400024,825.0,830.150024,795.151001,6409662.0
2019-03-01,2268,831.0,836.5,829.099976,831.799988,796.7313839999998,3820707.0
2019-03-05,2269,822.5,824.700012,808.049988,810.0,775.850525,4927644.0
2019-03-06,2270,812.0,829.700012,812.0,823.549988,788.829163,3999053.0
2019-03-07,2271,823.549988,825.450012,806.25,808.25,774.174255,2306250.0
2019-03-08,2272,810.200012,813.5,802.599976,811.349976,777.143555,1437045.0
2019-03-11,2273,812.0,814.400024,803.0,807.150024,773.120605,2699806.0
2019-03-12,2274,811.0,813.75,801.150024,804.700012,770.773926,2793702.0
2019-03-13,2275,808.900024,816.0,788.0,789.950012,756.645813,4815576.0
2019-03-14,2276,792.099976,795.0,775.0,788.450012,755.2090450000002,3112666.0
2019-03-15,2277,794.0,807.5,787.0,799.299988,765.6015629999998,3854238.0
2019-03-18,2278,804.950012,805.700012,782.25,788.599976,755.352661,3379301.0
2019-03-19,2279,793.5,797.450012,783.25,794.650024,761.147644,2413153.0
2019-03-20,2280,797.0,806.200012,787.299988,789.849976,756.549988,3331375.0
2019-03-22,2281,794.5,798.0,783.200012,788.75,755.496399,2815749.0
2019-03-25,2282,792.0,795.450012,786.400024,789.599976,756.3105469999998,1861646.0
2019-03-26,2283,790.200012,791.900024,768.150024,770.75,738.255188,3169827.0
2019-03-27,2284,771.0,773.0,761.599976,764.950012,732.699829,3893738.0
2019-03-28,2285,770.0,782.0,768.049988,771.700012,739.165161,3908706.0
2019-04-01,2286,782.849976,794.799988,779.0,785.5,752.383362,3433947.0
2019-04-02,2287,790.950012,794.0,785.049988,792.450012,759.040344,2596840.0
2019-04-03,2288,792.450012,793.349976,776.25,777.700012,744.9122309999998,1467406.0
2019-04-04,2289,777.900024,781.75,767.25,774.5,741.847107,1751584.0
2019-04-05,2290,779.0,787.099976,774.5,777.25,744.4812009999998,1367411.0
2019-04-08,2291,779.700012,790.0,773.400024,787.150024,753.9638669999998,1368825.0
2019-04-09,2292,790.349976,797.700012,787.299988,789.5,756.214783,2128462.0
2019-04-10,2293,786.049988,798.950012,786.0,790.25,756.933167,2497013.0
2019-04-11,2294,790.400024,795.75,778.599976,780.950012,748.025146,1854222.0
2019-04-12,2295,779.0,786.349976,774.549988,785.349976,752.239685,3162714.0
2019-04-15,2296,785.349976,799.400024,785.0,797.200012,763.590149,3317405.0
2019-04-16,2297,799.0,804.700012,795.150024,798.099976,764.4521480000002,1868910.0
2019-04-18,2298,804.0,809.0,798.099976,800.349976,766.6073,6307643.0
2019-04-22,2299,800.700012,810.799988,798.799988,805.349976,771.396484,1833972.0
2019-04-23,2300,806.5,807.950012,800.049988,804.950012,771.013367,1214892.0
2019-04-24,2301,807.0,820.0,806.0,818.75,784.231567,2710117.0
2019-04-25,2302,820.0,827.0,813.450012,816.5,782.076416,5447101.0
2019-04-26,2303,816.5,826.849976,816.5,823.25,788.541809,1996703.0
2019-04-30,2304,825.950012,838.0,823.099976,836.099976,800.850037,2783771.0
2019-05-02,2305,834.900024,846.5,829.099976,837.0,801.712158,3241791.0
2019-05-03,2306,830.0,834.450012,813.0,817.400024,782.9384769999998,2329144.0
2019-05-06,2307,810.0,825.5,810.0,820.150024,785.572571,1247845.0
2019-05-07,2308,822.0,824.299988,809.700012,814.650024,780.304443,1810222.0
2019-05-08,2309,813.0,814.099976,799.599976,802.299988,768.475037,1270071.0
