,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-01-04,197.832993,199.082993,192.25,193.207993,130.12799099999998,6309685.0
1,2010-01-05,195.167007,195.707993,190.125,191.082993,128.696777,8199538.0
2,2010-01-06,191.917007,195.75,189.707993,190.167007,128.079849,8325996.0
3,2010-01-07,191.5,191.5,187.707993,190.207993,128.107437,6505912.0
4,2010-01-08,191.5,194.667007,191.0,192.582993,129.707092,7441676.0
5,2010-01-11,194.25,196.125,193.332993,194.125,130.745575,3774641.0
6,2010-01-12,195.0,195.5,190.667007,191.167007,128.753357,3794680.0
7,2010-01-13,190.082993,192.875,189.25,191.167007,128.753357,5045623.0
8,2010-01-14,191.667007,193.917007,191.667007,192.5,129.651154,3604338.0
9,2010-01-15,195.417007,195.417007,192.5,193.542007,130.35296599999998,3700988.0
10,2010-01-18,193.542007,194.5,192.25,192.707993,129.791245,2488918.0
11,2010-01-19,193.542007,194.0,189.25,189.75,127.798996,3848297.0
12,2010-01-20,191.75,193.75,190.5,191.167007,128.753357,6302983.0
13,2010-01-21,191.667007,192.457993,185.542007,186.25,125.441658,5615904.0
14,2010-01-22,183.582993,187.832993,183.0,185.25,124.768188,6955588.0
15,2010-01-25,185.832993,187.082993,183.832993,186.5,125.610069,2694200.0
16,2010-01-27,185.832993,187.5,179.167007,180.417007,121.51311499999998,7334034.0
17,2010-01-28,182.0,184.582993,176.707993,178.375,120.13778700000002,10990457.0
18,2010-01-29,178.707993,179.917007,175.292007,178.582993,120.27786299999998,7045766.0
19,2010-02-01,180.832993,180.832993,175.5,176.082993,118.594131,5982205.0
20,2010-02-02,176.875,177.5,171.417007,171.667007,115.61986499999999,5804071.0
21,2010-02-03,173.332993,176.582993,171.667007,174.875,117.780502,6115466.0
22,2010-02-04,175.667007,175.667007,172.125,173.082993,116.573555,3554996.0
23,2010-02-05,171.667007,175.582993,169.625,170.25,114.665497,3797498.0
25,2010-02-08,173.332993,173.332993,167.707993,168.667007,113.599327,2837287.0
